Artista,Biografia,Listeners,Playcount,Artistas Similares
Slick Shoes,"Slick Shoes was a pop punk  band with Christian origins from Antelope Valley, California. Their name comes from the hit 1985 movie, The Goonies, 'slick shoes' being one of the character Data's many gadgets. The band formed in 1994 and made their first release as a self-titled EP  in 1997. They released 5 full length CDs, 4 of them on Seattle based Tooth and Nail Records. They also released an EP, a split with Autopilot Off and a greatest hits CD entitled The Biggest &  The Best, featuring 3 previously unreleased songs. <a href=""https://www.last.fm/music/Slick+Shoes"">Read more on Last.fm</a>",99528,1327547,MxPx
Mango Wood," <a href=""https://www.last.fm/music/Mango+Wood"">Read more on Last.fm</a>",560,3987,Smooth Beans
Los Cafres,"Los Cafres is an Argentine reggae band, formed in late 1987. The group achieved popular recognition in the mid-1990s, with the release of their first album, Frecuencia Cafre. The term «cafre» comes from the Arabic adjective ""kafir"", which in the first instance means ""unfaithful"" and which later changed its meaning towards ""brutal to the highest degree""; meaning of the term with which the band chooses to identify itself. <a href=""https://www.last.fm/music/Los+Cafres"">Read more on Last.fm</a>",169545,2982208,Nonpalidece
Screeching Weasel,"Screeching Weasel is an American punk band from Chicago, Illinois. They were formed in 1986 by Ben Weasel (aka Ben Foster who also used to be a columnist for the punk fanzine Maximum Rocknroll) and John Jughead (aka John Pierson). The band gained prominence in the early 1990s after signing to East Bay punk label, Lookout! Records and are cited to be a major influence over many bands playing that style of punk music.

Through the years, the band went through many line-up changes <a href=""https://www.last.fm/music/Screeching+Weasel"">Read more on Last.fm</a>",251450,6564197,The Mr. T Experience
Hightime,"The professional part(y)...

After sharing the stage in various punk bands; 2009 saw four friends with similar dreams come together to write and record some of the most fun, heartdriven and diverse songs in Australian punk rock.

Drawing influence from the greater world of music, the band has managed to create a sound which clashes with many a genre; yet always carries the passion of its driving p...unk rock roots.

Their infectious and energetic live show has seen them already share the stage with a huge range of artists <a href=""https://www.last.fm/music/Hightime"">Read more on Last.fm</a>",4862,58928,Russian Girlfriends
"Bad Cop, Bad Cop","Incorrect Spotify formatting for Bad Cop/Bad Cop.  <a href=""https://www.last.fm/music/Bad+Cop,+Bad+Cop"">Read more on Last.fm</a>",24988,502534,JOYstick!
Alpheus,"Born and raised by Jamaican parents in London (UK), Alpheus developed a passion for singing after seeing Sam Cooke perform on television and performing on local sound systems in London as a youth.

Alpheus met Tony Brevett of the famed vocal rocksteady group The Melodians whilst he was living in Florida, USA. Mr. Brevett took Alpheus to the legendary Clement Dodd and his great STUDIO ONE Label where he recorded his debut album Quality Time, in 1998. On some of those classic Studio One rhythms. <a href=""https://www.last.fm/music/Alpheus"">Read more on Last.fm</a>",3908,31429,Mango Wood
Cosmic Shuffling," <a href=""https://www.last.fm/music/Cosmic+Shuffling"">Read more on Last.fm</a>",799,4530,TOMMY TORNADO
Anti-Flag,"Anti-Flag was an American punk rock band from Pittsburgh, Pennsylvania, United States. The band is well known for its politically charged lyrics and activism, focusing on human rights and various left-wing causes. The line-up includes singer/guitarist Justin Sane and drummer Pat Thetic, who founded the band together; later members are guitarist Chris Head, and singer/bassist Chris Barker (#2) who replaced Jamie ""Cock"" Towns, who had replaced original bassist Andy Flag in 1997 following his departure one year prior. <a href=""https://www.last.fm/music/Anti-Flag"">Read more on Last.fm</a>",935205,32612867,Pennywise
The Lawrence Arms,"The Lawrence Arms is a punk rock band from Chicago, formed in 1999. The lineup consists of Brendan Kelly (vocals & bass), Chris McCaughan (vocals & guitar), and Neil Hennessy (drums). They have released seven full-length albums and are currently signed to Epitaph. Their music and lyrics exhibit their propensity for juxtaposing references from history and literature with American pop culture. The band takes its name from a building the members resided in (and were later evicted from) called the Lawrence Arms <a href=""https://www.last.fm/music/The+Lawrence+Arms"">Read more on Last.fm</a>",206941,10107057,The Falcon
Los Caligaris,"Los Caligaris es una banda de Rock formada en Córdoba, caracterizada por la fusión de géneros como el Ska, el Cuarteto, la cumbia, el reggae, etc. Tuvo sus orígenes en 1997, fundada por los hermanos Martin y Diego Pampiglione, fueron modificando su formación hasta la edición de su primer disco titulado ""Yernos Perfectos"" editado en el año 2002, en el cual incluyeron una canción que los llevaría a la popularidad, primero en la provincia y después en toda la Argentina, ""Nadie es perfecto"". <a href=""https://www.last.fm/music/Los+Caligaris"">Read more on Last.fm</a>",58447,1295846,Inspector
Tokyo Ska Paradise Orchestra,"In the late 1980s, there was a band executing countless lives on streets and clubs of Tokyo…, their　name is TOKYO SKA PARADISE ORCHESTRA. Their dynamic yet absolute performance drew growing audiences, and so releases the first 12' vinyl record ""TOKYO SKA PARADISE ORCHESTRA"" from an indie label in 1989. The following year, gaining more and more fans, they make a major debut by the single ""MONSTER ROCK,"" and its recorded album ""SUKAPARA TOU-JYO. <a href=""https://www.last.fm/music/+noredirect/Tokyo+Ska+Paradise+Orchestra"">Read more on Last.fm</a>",37658,541380,
