Artista,Biografia,Listeners,Playcount,Artistas Similares
104 BPM," <a href=""https://www.last.fm/music/104+BPM"">Read more on Last.fm</a>",383,1077,Your Dime
COEO,"German duo Coeo have been making waves recently on the underground House scene. With releases on esteemed labels such as Sccucci Manucci, Toy Tonics, Let's Play House, Seven Music or Dabit Records they are an act to watch over 2014! 

The DJ and production duo consists of Florian Vietz and Andreas Höpfl, 2 guys, who met during high school and shared a mutual love for hip hop and soul music. Some years later they fell in love with house music and spent more and more nights in their studio in Munich to write their own songs. <a href=""https://www.last.fm/music/COEO"">Read more on Last.fm</a>",98335,747629,Crazy P
Sound Quelle,"Sound Quelle is a project of Russian musician (Valery Lebedev) from the city of Togliatti. In his works, Sound Quelle focuses on a beautiful harmonious music in combination with moderately aggressive lines bass. All Time Sound Quelle has released his work at Armada, Black Hole,
Enhanced, Premier and many other labels, as well as to get support from the best DJs in the world such as: Above & Beyond, Markus Schulz, Ferry Corsten, Paul van Dyk, Paul Oakenfold, and many others. <a href=""https://www.last.fm/music/Sound+Quelle"">Read more on Last.fm</a>",83554,813365,Milkwish
Dombresky,"Although he hails from the south of France, Dombresky’s penchant for invigorating four- on-the-floor beats is pure house bliss. 

The DJ and producer burst onto the scene in 2016 when he arrived in Miami as Quentin Dombres, a then-unknown talent with an impressive roster of funky, feel-good tracks. Today he has become inextricably linked with industry heavyweights including Blondish, Armand van Helden, Diplo, Claptone, and MK, all of whom supported Dombresky’s early career endeavors as collaborators.  <a href=""https://www.last.fm/music/Dombresky"">Read more on Last.fm</a>",148332,1163013,Noizu
Disclosure,"Disclosure are Guy Lawrence and Howard Lawrence, brothers from Surrey, United Kingdom. Crafting their own lo-fi dream-dub sound, Disclosure effortlessly combine 2-step garage rhythms and dubstep basslines with their own rich musical heritage of soul, jazz and 90s hip hop. After their debut single on Moshi-Moshi Records in September 2010, the duo released a 4 track EP on Transparent Records the year after. 2012 saw the release of ""Tenderly/Flow"" and ""The Face"" EP on Greco-Roman. <a href=""https://www.last.fm/music/Disclosure"">Read more on Last.fm</a>",1957558,60525426,AlunaGeorge
Year of Dogs," <a href=""https://www.last.fm/music/Year+of+Dogs"">Read more on Last.fm</a>",2995,13636,aboynamedblu
Durante,"Passion is the artist’s calling card, no matter the medium, and that’s a truth Kevin Durante recognizes above all else. His music has clutched the attention of listeners globally via releases on a multitude of international record labels including Anjunadeep, W&O Street Tracks, Earthly Delights, Nice Age, and Openers. Perhaps his Italian roots push the producer/DJ to seek a higher beauty, but with more than a decade of creation, experimentation, and discovery behind him, his personal journey has taught him not to fear honesty.  <a href=""https://www.last.fm/music/Durante"">Read more on Last.fm</a>",102642,775694,Rezident
DØBER," <a href=""https://www.last.fm/music/D%C3%98BER"">Read more on Last.fm</a>",3621,19139,BLVNCO
Spada,"Once again Italy brings some refreshing new artists and sounds this year with minimal producer spada leading the way. Combining minimal percussion with an exciting melancholic sound that cuts through like a razor this Ace of Spades has been releasing some seriously quality stuff with support by Boys Noize, Umek, Satoshi Tomiee, Sasha, Armin Van Bureen, Oscar, Audiofly, Dj Yellow, Da Fresh, Lars Sommerfeld, Davis&May, Ron Flatter etc... with releases on labels like Boxer Sport, Maripoza, Back Home, Manual music, KarateKlub. <a href=""https://www.last.fm/music/Spada"">Read more on Last.fm</a>",143857,951475,Daniel Portman
Ben Remember," <a href=""https://www.last.fm/music/Ben+Remember"">Read more on Last.fm</a>",13935,45783,TUFF LONDON
Muzzaik,"Real Name: Dániel Dalmady & Zsolt Milichovszki 
Profile: As DJs both of them represent the same style, that's how they've met. Muzzaik project was formed in 2002 by Dalmady Daniel and Milichovszki Zsolt. The goal was to create something enduring within House style and to share their special sounding with people. Their first production was released in the spring of 2003 with the title: Tribalground EP. They are not only interested in tribal-house <a href=""https://www.last.fm/music/Muzzaik"">Read more on Last.fm</a>",33911,107002,Vandalism & Angger Dimus
Freak On," <a href=""https://www.last.fm/music/Freak+On"">Read more on Last.fm</a>",9635,37130,Chaney
D.O.D,"There are 3 types of D.O.D.  the first is Do or Die a four piece band from San Francisco, comprising of two women and two men who are no longer playing together. 

The Second is Duo of Darkness a three piece band from Groningen; The Netherlands comprising of three friends rhymin' their way to the top. (www.last.fm/music/duo+of+darkness)

The third is is a British house music DJ & Producer, D.O.D <a href=""https://www.last.fm/music/D.O.D"">Read more on Last.fm</a>",264613,3329928,Noizu
Pax,"There are at least eight different artists with the name PAX:

1) A Peruvian psychedelic rock band from the 1970s, now split-up. Members included: Mark Aguilar, Enrique Ego Aguirre, Miguel Flores, and Jaime Orue Moreno. They released one full length album, Pax (May God And Your Will Land You And Your Soul Miles Away From Evil) in 1970 by Sono Radio. Also a number of 45rpm singles through the '70s to the mid '80s including Exorcismo / Sr. Epidermis and Radar of Love. <a href=""https://www.last.fm/music/Pax"">Read more on Last.fm</a>",113980,642438,Traffic Sound
Bassel Darwish,"Bassel Darwish was born in Barcelona, Spain. He performed in Countries like: Spain, Greece, USA, México, UK, Egypt, Argentina, Brazil, Panamá, Costa Rica, Croatia, Germany, Italy, Malaysia, Thailand, Chile, Lebanon, Bulgaria, Ecuador. 

He is now focusing on producing Tech House music, to share his passion with the world. His musical talent in production led him to be part of labels such as: Solid Grooves, Stereo Productions, Deeperfect, Material, Moan, NoExcuse, Lemon-aid, SK and more.  <a href=""https://www.last.fm/music/Bassel+Darwish"">Read more on Last.fm</a>",4084,13863,Bizen Lopez
Rendher,"Tras 6 años de carrera en Elefante -una de las bandas más importantes del rock en Uruguay con 3 discos editados: elefante 1 (1999), bazar (2001) y Forma (2002), Stella Maris, Maneco y Harry, dan comienzo a un nuevo proyecto llamado RENDHER. La nueva propuesta fluye entre el rock y el sofisticado pop electrónico mostrando una química más evolucionada entre sus integrantes reflejada en sus temas. <a href=""https://www.last.fm/music/Rendher"">Read more on Last.fm</a>",1762,7300,Miss Wichita
Sam Collins,"Sam Collins (August 11, 1887 - October 20, 1949),
Crying Sam Collins was an early American blues singer and guitarist.
Aka Jim Foster, Jelly Roll Hunter, Big Boy Woods, Bunny Carter, and Salty Dog Sam.

He was born in Louisiana and grew up just across the state border in McComb, Mississippi. By 1924 he was performing in local barrelhouses, often with King Solomon Hill with whom
 he shared the use of falsetto singing and slide guitar. He was first recorded by Gennett Records <a href=""https://www.last.fm/music/Sam+Collins"">Read more on Last.fm</a>",28716,131532,Blind Lemon Jefferson
Low Steppa,"Low Steppa is without doubt one of the most vital and influential house music artists of the present day. From his explosive bootleg of Route 94's 'My Love' to playing BBC Radio 1's Big Weekend and Defected In The House parties, to his Rinse FM show and all-conquering Simma Black imprint - which celebrated its 100th release in 2017 - Low Steppa is about as relevant and in-demand a DJ and producer as its possible to be.

It was the aforementioned bootleg of Route 94's 'My Love' that announced his arrival, reaching over 2. <a href=""https://www.last.fm/music/Low+Steppa"">Read more on Last.fm</a>",108404,679007,Illyus & Barrientos
marsh,"There are two artists with the name of Marsh. For the black metal one, go here: Mἄrsh. 

Marsh - British Progressive House Producer. Tom Marshall

Following his debut ‘You’ll Be Fine’ released on Silk Music’s Arrival imprint in June 2012, half a year was all it took for the UK’s Tom Marshall, aka. Marsh to gain the spotlight amongst many electronic dance music stars.

Recognised for his high energy grooves, pulsating beats and endorphin inducing melodies <a href=""https://www.last.fm/music/marsh"">Read more on Last.fm</a>",85072,1212630,
Tinlicker,"Utrecht based duo Micha Heyboer and Jordi van Achthoven have been crafting their computerized soul together since 2013. And even during those early days they were no rookies, having individually honed their skills as part of world renowned drum 'n bass act Black Sun Empire (Heyboer) and as producer, songwriter and music editor for many artists (Van Achthoven).

All this previous experience showed from day one, resulting in an impressive string of highly mature and deeply emotive tracks. <a href=""https://www.last.fm/music/Tinlicker"">Read more on Last.fm</a>",320358,4208604,Massane
Eli Brown,"Eli Brown has rapidly established himself as an artist of real distinction in the house world, with his records making an immediate impact upon a flurry of the industry’s biggest names. Having grown up in Bristol, Eli Brown was exposed to a rich array of different musical influences from Jungle to Rave music, form Drum n’ Bass to House. Bristol’s musical heritage has helped define Eli Brown’s sound in an overcrowded House Music scene where he stands out from the rest. <a href=""https://www.last.fm/music/Eli+Brown"">Read more on Last.fm</a>",178995,1656354,Lilly Palmer
Proudly People," <a href=""https://www.last.fm/music/Proudly+People"">Read more on Last.fm</a>",5866,18382,Italobros
BT,"Brian Transeau (born Brian Wayne Transeau on October 4, 1971, in Rockville, Maryland) is an American musician who records under the stage name BT. Classically trained from the age of 13, he attended Berklee College of Music in Boston for one year before dropping out and moving to Los Angeles, California, and then back to Washington, D.C..

From an early age, BT demonstrated a remarkable aptitude for playing and understanding classical music. He was heavily influenced by avant-garde and romantic composers such as Stravinsky <a href=""https://www.last.fm/music/BT"">Read more on Last.fm</a>",610224,10810409,Chicane
