Artista,Biografia,Listeners,Playcount,Artistas Similares
Franky Rizardo,"Young and talented deejay/producer Franky Rizardo already is a well known name in the international dance-scene. At only 20 years old, his tracks are already being released on labels like Fame Recordings and Funktion Recordings (Chicago). 

His tracks receive full support by all major players in the scene like Steve Angello, Sebastian Ingrosso, Fedde le Grand and Erick E. ""Funky Noise"" released at Fame Recordings has reached a # 2 spot in the Belgium dance charts <a href=""https://www.last.fm/music/Franky+Rizardo"">Read more on Last.fm</a>",85672,457640,Josh Butler
Sqwad,"japcore band with ex-Ghoul members <a href=""https://www.last.fm/music/Sqwad"">Read more on Last.fm</a>",24640,100193,Bleu Clair
George Smeddles," <a href=""https://www.last.fm/music/George+Smeddles"">Read more on Last.fm</a>",4879,19408,Rossi.
Jay Robinson," <a href=""https://www.last.fm/music/Jay+Robinson"">Read more on Last.fm</a>",36022,135104,Kyle Watson
Walker & Royce,"New York City’s Sam Walker & Gavin Royce have been producing their emotive, subdued and groove-heavy house since 2011

Walker & Royce started when Sam and Gavin, having known each other in and out of the dance scene for years, finally began working together in 2011. Crosstown Rebels boss Damian Lazarus noticed one of their very first releases. The result was the Crosstown Rebels EP ""You're Not Welcome"" and with that, Walker & Royce was launched into the dance music spotlight. <a href=""https://www.last.fm/music/Walker+&+Royce"">Read more on Last.fm</a>",68797,481216,Anti Up
Freak On," <a href=""https://www.last.fm/music/Freak+On"">Read more on Last.fm</a>",9672,37251,Westend
Kryder,"Ascending from obscurity to become one of the most sought after, new names in the dance music scene. The last few years have been exceptionally good to Kryder. Deciding at a very young age that his only career path would be one in music, it would take another few years before he stepped out of the shadows into the eyes and ears of today’s mega producers. 

Kryder’s musical talents don’t follow a trend, he sets the trend. His music transcends language and captivates the ear. <a href=""https://www.last.fm/music/Kryder"">Read more on Last.fm</a>",86259,472339,Tom Staar
Ibiza House Classics," <a href=""https://www.last.fm/music/Ibiza+House+Classics"">Read more on Last.fm</a>",2104,20770,Traumton
Apparel Wax,"Apparel Wax is the code name of an unknown artist, brought to life by a collective of many talented international ghost producers who pull its strings, giving him life with their sounds. It’s the newest creation and it symbolizes our love for music, the only thing we really care about, without compromises or distinction. The main ingredient of Wax’s recipe is quality, not names! <a href=""https://www.last.fm/music/Apparel+Wax"">Read more on Last.fm</a>",14444,69688,Jason Hersco
Tony Romera,"Tony Romera is a French DJ, producer and remixer born in the early 90's. After a slew of successful EP's on 17:44 Records and Strictly Rhythm's ""Wasted Youth"" , the Lyon-based artist has gathered support from some of the biggest DJ's such as Roger Sanchez, Chuckie, Ron Carroll, Tristan Garner, DBN, Joachim Garraud, Armin van Buuren, Micha Moor, Deniz Koyu, Thomas Gold, Syke'n'Sugarstarr and many more.
In addition to his productions, Tony is a skilled <a href=""https://www.last.fm/music/Tony+Romera"">Read more on Last.fm</a>",60038,452331,Stonebank
Junior Jack,"Vito Lucente, better known as Junior Jack, is a house music producer and DJ, born in Italy, but resident in Belgium. He is better known for the singles ""My Feeling"", ""Thrill Me (Such A Thrill)"", ""E Samba"", ""Stupidisco"" and ""Da Hype"", the latter featuring vocals by Robert Smith from The Cure.

In 1995, he abandoned Eurodance and adopted the name Mr. Jack (which would later morph into Junior Jack), dabbling in house music. He entered the UK Top 40 with the singles ""My Feeling"" <a href=""https://www.last.fm/music/Junior+Jack"">Read more on Last.fm</a>",384670,2375324,Armand van Helden
